filepath,key,value,epsilon,isequal
testdata/strct.nhdr,dimension,3,,True
testdata/strct-withspaces.nhdr,dimension,3,,True
testdata/strct.nhdr,encoding,gzip,,True
testdata/strct-withspaces.nhdr,encoding,gzip,,True
testdata/strct.nhdr,endian,little,,True
testdata/strct-withspaces.nhdr,endian,little,,True
testdata/strct.nhdr,kinds,"[domain,domain,domain]",,True
testdata/strct-withspaces.nhdr,kinds,"[domain,domain,domain]",,True
testdata/strct.nhdr,sizes,"[256,256,176]",,True
testdata/strct-withspaces.nhdr,sizes,"[256,256,176]",,True
testdata/strct.nhdr,space,LPS,,True
testdata/strct-withspaces.nhdr,space,LPS,,True
testdata/strct.nhdr,"space directions","(StructuralSpaceDirections (0.0,1.0,0.0) (0.0,0.0,-1.0) (-1.0,0.0,0.0))",5.0e-2,True
testdata/strct-withspaces.nhdr,"space directions","(StructuralSpaceDirections (0.0,2.0,0.0) (0.0,0.0,-1.0) (-1.0,0.0,0.0))",5.0e-2,False
testdata/strct.nhdr,"space origin","(87.5,-127.5,127.5)",5.0e-2,True
testdata/strct-withspaces.nhdr,"space origin","(87.5,-127.5,127.5)",5.0e-2,True
testdata/strct.nhdr,type,short,,True
testdata/strct-withspaces.nhdr,type,short,,True
